timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643302723405,715,Login-page,502,Bad Gateway,CDI-J&J 1-275,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,715,0,629
1643302723409,698,Login-page,502,Bad Gateway,CDI-J&J 1-286,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,691,0,558
1643302723371,736,Login-page,502,Bad Gateway,CDI-J&J 1-272,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,736,0,597
1643302721551,2572,Login-page,502,Bad Gateway,CDI-J&J 1-104,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,2572,0,2502
1643302722070,2050,Login-page,502,Bad Gateway,CDI-J&J 1-156,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,2049,0,1975
1643302723368,740,Login-page,502,Bad Gateway,CDI-J&J 1-257,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,739,0,626
1643302720681,3435,Login-page,502,Bad Gateway,CDI-J&J 1-9,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,3435,0,3356
1643302723611,528,Login-page,502,Bad Gateway,CDI-J&J 1-302,text,false,,300,132,362,362,https://staging.jnjonc2022.com/login,528,0,445
1643302721970,2156,Login-page,502,Bad Gateway,CDI-J&J 1-146,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,2156,0,2051
1643302723632,487,Login-page,502,Bad Gateway,CDI-J&J 1-306,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,487,0,402
1643302723378,748,Login-page,502,Bad Gateway,CDI-J&J 1-259,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,748,0,676
1643302721141,2999,Login-page,502,Bad Gateway,CDI-J&J 1-63,text,false,,300,132,362,362,https://staging.jnjonc2022.com/login,2999,0,2941
1643302723614,493,Login-page,502,Bad Gateway,CDI-J&J 1-308,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,488,0,353
1643302720969,3162,Login-page,502,Bad Gateway,CDI-J&J 1-46,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,3162,0,3092
1643302723856,298,Login-page,502,Bad Gateway,CDI-J&J 1-333,text,false,,300,132,364,364,https://staging.jnjonc2022.com/login,298,0,227
1643302720682,3442,Login-page,502,Bad Gateway,CDI-J&J 1-11,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,3442,0,3372
1643302722191,1949,Login-page,502,Bad Gateway,CDI-J&J 1-168,text,false,,300,132,362,362,https://staging.jnjonc2022.com/login,1949,0,1892
1643302720810,3316,Login-page,502,Bad Gateway,CDI-J&J 1-30,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,3316,0,3243
1643302720949,3175,Login-page,502,Bad Gateway,CDI-J&J 1-44,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,3175,0,3105
1643302721210,2909,Login-page,502,Bad Gateway,CDI-J&J 1-70,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,2909,0,2828
1643302722041,2085,Login-page,502,Bad Gateway,CDI-J&J 1-153,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,2085,0,2013
